throttle,velocity,acceleration
0.38,1.955154,0.037804
0.38,1.961409,0.037028
0.38,1.958693,0.036180
0.38,1.964874,0.035434
0.38,1.962078,0.034620
0.38,1.968189,0.033902
0.38,1.965318,0.033127
0.38,1.971360,0.032432
0.38,1.968415,0.031685
0.38,1.974396,0.031036
0.38,1.971384,0.030326
0.38,1.977301,0.029703
0.38,1.974221,0.029026
0.38,1.980080,0.028420
0.38,1.976937,0.027767
0.38,1.982740,0.027194
0.38,1.979535,0.026572
0.38,1.985284,0.026019
0.38,1.982021,0.025420
0.38,1.987719,0.024895
0.38,1.984401,0.024329
0.38,1.990049,0.023824
0.38,1.986677,0.023280
0.38,1.992276,0.022788
0.38,1.988853,0.022259
0.38,1.994409,0.021801
0.38,1.990938,0.021306
0.38,1.996451,0.020872
0.38,1.992932,0.020395
0.38,1.998403,0.019967
0.38,1.994839,0.019502
0.38,2.000269,0.019092
0.38,1.996663,0.018657
